borehole_id,name,lat,lon,country,site_name,max_depth_m,magt_c,depth_used_m,n_measurements,year_min,year_max,pred_convlstm,real_ttop,esa_t2m,suspect,mid_year,years_to_2023,magt_adjusted,pred_v3
175,Nadym ND3,65.3146,72.8629,Russia,Nadym,,-0.115,11.0,1.0,2011.0,2011.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2011.0,12.0,0.905,-1.4919028
176,Nadym ND3_4,65.314472,72.861805,Russia,Nadym,,-1.529517714791851,12.4,2258.0,2007.0,2010.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2008.5,14.5,-0.2970177147918509,-1.4919028
169,Nadym 12_75,65.315638,72.87325,Russia,Nadym,,-0.1553467697404748,10.0,3622.0,2007.0,2013.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2010.0,13.0,0.9496532302595252,-1.4919028
177,Nadym PiCla,65.3055,72.892027,Russia,Nadym,,-1.5537506666666665,11.7,2250.0,2007.0,2010.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2008.5,14.5,-0.3212506666666663,-1.4919028
178,Nadym Pingo,65.298472,72.895,Russia,Nadym,,-2.591757297297297,10.0,1850.0,2007.0,2010.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2008.5,14.5,-1.3592572972972967,-1.4919028
179,Nadym THA,65.3166,72.862,Russia,Nadym,,1.7494109792284869,8.0,674.0,2007.0,2009.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2008.0,15.0,3.0244109792284872,-1.4919028
170,Nadym 14_72,65.3153,72.8693,Russia,Nadym,,-0.5377740661510614,15.0,6077.0,2007.0,2013.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2010.0,13.0,0.5672259338489386,-1.4919028
172,Nadym 23_75,65.3147,72.8606,Russia,Nadym,,-0.0933231271370842,15.0,6434.0,2007.0,2013.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2010.0,13.0,1.0116768728629155,-1.4919028
173,Nadym 23a_75,65.3147,72.8612,Russia,Nadym,,-0.5044857762124085,10.0,3691.0,2007.0,2013.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2010.0,13.0,0.6005142237875915,-1.4919028
1101,Nadym 4_09,65.3225,72.88166,Russia,Nadym,,-2.692,14.62,16.0,2008.0,2009.0,-3.9919028282165527,-3.920886993408203,0.11744562347729,False,2008.5,14.5,-1.4595,-1.4919028
