strategy,cv_rmse_mean,cv_rmse_std,cv_bias_mean,cv_mae_mean,train_rmse,train_bias,is_chosen
identity,3.064276301240324,1.0353096140908802,-1.9984710039119857,2.693826537087836,3.215284038374855,-1.9846052889447479,False
global,2.4877640697632315,0.9567036239639118,-0.03528189244532698,2.0426821270143334,2.5131461549406513,-1.4130111222501992e-16,True
per_zone,2.7495819521559346,0.8183160719900733,-0.40355612365896604,2.2667055489606303,2.2843462406256765,-7.795332729489418e-11,False
piecewise,2.571633532957768,0.8656368758588895,-0.10388827707010469,2.1249385880741003,2.4561197859212216,-3.6903559467541904e-09,False
