lon,lat,magt_2010,magt_2023,dmagt,alt_2010,alt_2023,dalt
54.9993532702177,54.9993532702177,4.0283427,4.116238,0.08789539,4.625603,5.526391,0.90078783
54.9993532702177,54.9993532702177,4.0283427,4.116238,0.08789539,4.625603,5.526391,0.90078783
55.25088154977117,54.9993532702177,4.0229244,4.096739,0.07381439,4.981301,5.2081137,0.22681284
55.50240982932464,54.9993532702177,3.9473863,4.39117,0.44378376,5.1219864,5.5308504,0.40886402
55.7539381088781,54.9993532702177,4.452032,4.5387573,0.086725235,5.636503,5.700627,0.06412363
55.996483235590375,54.9993532702177,3.959146,3.797227,-0.16191912,4.708598,4.8885365,0.17993832
56.248011515143844,54.9993532702177,4.003653,4.0100303,0.00637722,4.867098,5.3242908,0.4571929
56.499539794697306,54.9993532702177,4.3643355,4.4430594,0.07872391,4.7118535,4.9666004,0.2547469
56.751068074250774,54.9993532702177,3.70859,3.6625307,-0.04605937,4.69566,4.4127946,-0.28286552
57.002596353804236,54.9993532702177,3.9675648,3.7957506,-0.1718142,4.802303,4.8155212,0.013218403
57.254124633357705,54.9993532702177,3.922018,3.704611,-0.21740699,4.9989314,4.883208,-0.11572361
57.49666976006998,54.9993532702177,3.4725306,3.183997,-0.2885337,5.0275707,4.808269,-0.2193017
57.74819803962344,54.9993532702177,3.8174558,3.5122092,-0.3052466,4.9030676,4.7659283,-0.13713932
57.99972631917691,54.9993532702177,4.1619453,4.05022,-0.11172533,5.1394153,5.052547,-0.086868286
58.25125459873038,54.9993532702177,3.6083298,3.8955572,0.2872274,4.488901,4.539631,0.05072975
58.50278287828384,54.9993532702177,4.0478163,3.8341575,-0.21365881,5.235482,4.9083276,-0.32715464
58.75431115783731,54.9993532702177,3.2993252,3.0544612,-0.24486399,4.7848063,4.611289,-0.17351723
58.99685628454958,54.9993532702177,3.2210083,3.100746,-0.120262384,4.6347175,4.439387,-0.19533062
59.24838456410304,54.9993532702177,3.200645,3.0679445,-0.13270044,4.7379355,4.526393,-0.2115426
59.49991284365651,54.9993532702177,3.265904,3.1968753,-0.069028616,4.76594,4.7552977,-0.0106425285
59.75144112320997,54.9993532702177,3.6414063,3.5802076,-0.06119871,4.7069645,4.8585763,0.1516118
60.00296940276344,54.9993532702177,3.4774477,3.5722702,0.09482241,4.7922487,4.8107657,0.018517017
60.24551452947571,54.9993532702177,3.4675958,3.6744227,0.20682693,5.0916486,5.3104696,0.21882105
60.497042809029175,54.9993532702177,3.7921963,4.1543655,0.36216927,4.7571864,4.8948026,0.13761616
60.74857108858264,54.9993532702177,3.8182983,4.0276165,0.20931816,4.8120203,4.936021,0.12400055
61.00009936813611,54.9993532702177,4.249913,4.3743644,0.12445116,5.3180494,5.7178073,0.39975786
61.251627647689574,54.9993532702177,4.1616483,4.1961184,0.03447008,5.2631574,5.2068315,-0.056325912
61.50315592724304,54.9993532702177,4.417638,4.4216475,0.0040097237,4.7742386,4.8807993,0.10656071
61.745701053955315,54.9993532702177,4.172408,4.4427752,0.27036715,4.6805444,4.7355638,0.05501938
61.99722933350878,54.9993532702177,4.38785,4.581854,0.19400406,4.8908787,4.6593137,-0.231565
62.248757613062246,54.9993532702177,4.748707,4.6365814,-0.1121254,4.803738,5.0787015,0.27496338
62.751814172169176,54.9993532702177,4.175017,4.60604,0.43102312,4.5083113,4.5365534,0.028242111
63.003342451722645,54.9993532702177,4.465306,4.571492,0.10618639,5.427298,5.391343,-0.035954952
63.24588757843491,54.9993532702177,4.797448,4.7438636,-0.053584576,5.593223,5.6899705,0.0967474
63.49741585798838,54.9993532702177,4.0008173,4.9330726,0.93225527,4.946068,5.400886,0.45481825
63.74894413754185,54.9993532702177,4.352696,4.7798305,0.4271345,3.7047,5.7931724,2.0884724
64.00047241709531,54.9993532702177,4.541779,4.8878365,0.34605742,5.742488,6.016123,0.2736349
64.25200069664878,54.9993532702177,3.975736,3.961273,-0.014462948,5.109493,5.1217904,0.01229763
64.50352897620225,54.9993532702177,4.461095,4.49093,0.029835224,4.979549,5.3754,0.39585114
64.74607410291452,54.9993532702177,4.2765727,4.25462,-0.02195263,3.981894,4.8174396,0.83554554
64.99760238246797,54.9993532702177,4.76966,4.9226236,0.15296364,5.7995443,5.949402,0.14985752
65.24913066202144,54.9993532702177,3.6953988,4.33248,0.63708115,4.5330386,4.7961345,0.26309586
65.50065894157491,54.9993532702177,4.15642,4.6626067,0.5061865,4.922551,5.4199286,0.4973774
65.75218722112838,54.9993532702177,4.6074395,4.80941,0.20197058,5.6517763,6.080274,0.4284978
66.00371550068185,54.9993532702177,4.6600914,4.5060368,-0.15405464,5.669123,5.994414,0.32529068
66.24626062739412,54.9993532702177,4.414775,4.6128335,0.1980586,5.4674125,5.71389,0.2464776
66.49778890694758,54.9993532702177,4.1888776,4.677806,0.48892832,4.9910345,5.1905003,0.19946575
66.74931718650105,54.9993532702177,4.1577625,4.4247475,0.26698494,5.7026,5.931555,0.22895479
67.00084546605451,54.9993532702177,4.153187,3.9881668,-0.16501999,4.9003572,5.666076,0.76571894
67.25237374560798,54.9993532702177,4.3794265,4.3889737,0.009547234,5.017143,6.035757,1.0186143
67.50390202516145,54.9993532702177,3.8789365,4.2491274,0.37019086,5.20736,5.7740126,0.5666528
67.74644715187371,54.9993532702177,4.1233997,4.408848,0.28544807,5.4490323,5.3888493,-0.06018305
68.24950371098065,54.9993532702177,4.658765,4.652059,-0.006705761,6.0445576,6.2818594,0.23730183
68.50103199053412,54.9993532702177,4.1200347,4.6494937,0.529459,5.4983325,5.9703727,0.47204018
68.75256027008759,54.9993532702177,4.650645,4.442977,-0.20766783,5.4325266,5.7008076,0.26828098
69.00408854964105,54.9993532702177,3.9821825,4.6502895,0.66810703,5.5050106,6.051968,0.5469575
69.24663367635331,54.9993532702177,3.8919837,4.2796736,0.38768983,5.439959,5.761471,0.32151175
69.49816195590678,54.9993532702177,4.3668065,4.448665,0.081858635,5.951929,5.824057,-0.12787199
69.74969023546025,54.9993532702177,4.1871533,4.3710766,0.18392324,5.6985893,6.010489,0.31189966
70.00121851501372,54.9993532702177,4.742969,4.5178223,-0.22514677,5.51469,5.9906425,0.47595263
70.25274679456719,54.9993532702177,4.6075068,4.5025153,-0.104991436,4.7435474,5.4460473,0.70249987
70.50427507412064,54.9993532702177,4.718691,4.8248806,0.10618973,5.920353,5.8765473,-0.0438056
70.74682020083291,54.9993532702177,4.6073246,4.800099,0.1927743,5.7614026,5.95894,0.19753742
70.99834848038638,54.9993532702177,4.7823563,4.5461287,-0.23622751,5.7307982,5.9750977,0.24429941
