lon,lat,trend,dmagt,magt_mean
99.99596585176454,54.9993532702177,-0.011557926709136886,-0.33950782,3.2196834
99.99596585176454,55.25088154977117,0.006248384185984971,-0.012625694,3.225285
99.99596585176454,55.50240982932464,-0.01595772670793921,-0.24820948,3.511349
99.99596585176454,55.7539381088781,-0.02088806659360232,-0.27757192,3.9129672
99.99596585176454,55.996483235590375,-0.004867148701147366,-0.08128023,3.3809142
99.99596585176454,56.248011515143844,0.005887850025032951,0.03595543,3.4832947
99.99596585176454,56.499539794697306,-0.001892488817623755,-0.13730359,3.1351957
99.99596585176454,56.751068074250774,-0.013999209222912267,-0.1667924,3.4051867
99.99596585176454,57.002596353804236,-0.007500228398961348,-0.11257577,3.3031738
99.99596585176454,57.254124633357705,0.005024611195431394,0.06902075,3.3117766
99.99596585176454,57.49666976006998,0.015302953840809944,0.24976873,3.2023978
99.99596585176454,57.74819803962344,0.02550744889657512,0.29319406,3.2313576
99.99596585176454,57.99972631917691,0.04881236824807909,0.59979033,3.019206
99.99596585176454,58.25125459873038,0.031204990797403236,0.3439119,2.981151
99.99596585176454,58.50278287828384,0.054251306268229924,0.64254117,2.831617
99.99596585176454,58.75431115783731,0.03271705651584864,0.35268164,2.9110644
99.99596585176454,58.99685628454958,0.043064217024209414,0.4471619,2.84341
99.99596585176454,59.24838456410304,0.034519290924070765,0.2881055,2.797915
99.99596585176454,59.49991284365651,0.04368937407867572,0.36487246,2.6161332
99.99596585176454,59.75144112320997,0.016534163076665723,0.035409212,2.6384845
99.99596585176454,60.00296940276344,0.02187521910365525,0.15761876,2.318441
99.99596585176454,60.24551452947571,0.03642728660679873,0.41982102,1.9125199
99.99596585176454,60.497042809029175,0.007574584212483744,-0.02707553,1.6183186
99.99596585176454,60.74857108858264,0.014111772066429763,-0.017112613,1.4407294
99.99596585176454,61.00009936813611,0.052615301669394925,0.57438534,1.0220509
99.99596585176454,61.251627647689574,0.03500063238264368,0.48346114,1.2875235
99.99596585176454,61.50315592724304,0.04176487319076807,0.4674884,1.0759265
99.99596585176454,61.745701053955315,0.03975808439375197,0.5583776,1.1595423
99.99596585176454,61.99722933350878,0.04976072462298816,0.7072499,0.90742695
99.99596585176454,62.248757613062246,0.024003029322321116,0.28914565,0.6642913
99.99596585176454,62.50028589261571,0.021791937607751218,0.29045033,0.53416175
99.99596585176454,62.751814172169176,0.035812161466740766,0.5540433,0.62698185
99.99596585176454,63.003342451722645,0.04374556805513817,0.6181811,0.8442559
99.99596585176454,63.24588757843491,0.03139742814664481,0.47594053,0.3710338
99.99596585176454,63.49741585798838,0.06391882536625842,0.9175753,-0.03721126
99.99596585176454,63.74894413754185,0.04040311687637452,0.5552379,0.39308622
99.99596585176454,64.00047241709531,0.07271117007807272,1.0137191,-0.062008597
99.99596585176454,64.25200069664878,0.062046949923787904,0.81470066,-0.2694199
99.99596585176454,64.74607410291452,0.09557572663584153,1.2296503,-0.584298
99.99596585176454,64.99760238246797,0.09410431724559717,1.4027723,-0.9958994
99.99596585176454,65.24913066202144,0.08047528342355056,1.0339174,-1.3707387
99.99596585176454,65.50065894157491,0.061688801155810165,0.8884986,-1.2864498
99.99596585176454,65.75218722112838,0.0729185478596705,1.0981905,-2.0518765
99.99596585176454,66.00371550068185,0.11141706780541698,1.4764199,-2.907364
99.99596585176454,66.24626062739412,0.06258697751201918,0.83342505,-3.1340265
99.99596585176454,66.49778890694758,0.08439752059646542,0.81512165,-4.766038
99.99596585176454,66.74931718650105,0.10307106005994118,1.7754912,-3.9506454
99.99596585176454,67.00084546605451,0.18688372660285846,2.3406098,-3.900355
99.99596585176454,67.25237374560798,0.12746488595309846,1.8082614,-3.4336014
99.99596585176454,67.50390202516145,0.16457382697092288,2.2289646,-4.307076
99.99596585176454,67.74644715187371,0.28000342151784907,3.3586073,-5.105377
99.99596585176454,68.24950371098065,0.18118108194084903,2.236381,-6.721539
99.99596585176454,68.50103199053412,0.12295555163032781,1.835299,-7.7835608
99.99596585176454,68.75256027008759,0.1835699419431946,2.1860518,-5.4406576
