borehole_id,name,site_name,lat,lon,magt_c,obu_magt,residual,year_max
1118,Olkhon-Pit,Olkhon,53.230319,107.439657,-1.4834722222222223,2.1659350395202637,3.649407261742486,2012.0
1114,Evota,Aldan,57.54335,125.18063,-0.2010487804878049,-3.07395601272583,-2.8729072322380254,2012.0
1117,Vega-23,Chara,56.90167,118.08193,-1.3192916666666668,-1.4733823537826538,-0.15409068711598706,2012.0
1116,Belenkiy-2,Chara,56.76077,118.19162,0.2796833333333333,-2.2106759548187256,-2.490359288152059,2012.0
1115,Chabada 5-81,Yakutsk,61.96371,129.41758,-0.3670263157894736,-5.200911998748779,-4.8338856829593055,2012.0
1111,Spasskaya 1,Yakutsk,62.25494,129.61749,-1.6224722222222223,-5.813370704650879,-4.190898482428657,2012.0
1112,Spasskaya 11,Yakutsk,62.25228,129.62031,-0.7180491803278689,-5.486464023590088,-4.768414843262219,2014.0
401,Vorkuta 35,Vorkuta,67.96219,61.49621,-4.327295258620689,0.06870279461145401,4.395998053232143,2016.0
180,Vorkuta DS-3/VII-74,Vorkuta,67.39564,63.37228,0.5384421487603306,-0.07446692138910294,-0.6129090701494335,2011.0
181,Vorkuta EK-67,Vorkuta,67.38333333,63.33333333,0.4006390909090909,0.20755913853645325,-0.19307995237263764,2011.0
182,Vorkuta K-887,Vorkuta,67.54861,64.17378,-1.7536429889298892,-0.08107170462608337,1.6725712843038059,2011.0
183,Vorkuta R-53,Vorkuta,67.33183,62.37263,-1.803201648917898,0.5329264402389526,2.3361280891568503,2011.0
184,Vorkuta R-57,Vorkuta,67.32485,62.38992,-2.055676354828943,0.4501596987247467,2.50583605355369,2011.0
185,Vorkuta R-64,Vorkuta,67.3471,62.37699,-1.7128773841961855,0.33287444710731506,2.045751831303501,2011.0
186,Vorkuta R-71,Vorkuta,67.34613,62.33724,0.6584820617620346,0.08298654109239578,-0.5754955206696388,2011.0
188,Vorkuta R-92,Vorkuta,67.32156,62.38978,-1.0024054054054052,0.4501596987247467,1.452565104130152,2013.0
189,Vorkuta RU0040,Vorkuta,67.33792,62.33707,-0.3117179487179488,0.3253018260002136,0.6370197747181624,2013.0
192,Vorkuta SH-15,Vorkuta,67.37059,64.89051,-0.7930303030303031,-0.6009557843208313,0.1920745187094718,2013.0
195,Vorkuta VK-1615,Vorkuta,67.46666667,63.35,-1.5125000000000002,0.3531261086463928,1.865626108646393,2009.0
196,Vorkuta VK-1618,Vorkuta,67.4456,63.4097,-2.251808452112528,0.19939245283603668,2.4512009049485646,2011.0
197,Vorkuta Ya1,Vorkuta,67.50732,64.00369,-2.421307359307359,0.47166886925697327,2.8929762285643323,2008.0
198,Vorkuta Ya3,Vorkuta,67.50745,64.00349,-5.696947594837701,0.47166886925697327,6.168616464094674,2012.0
199,Vorkuta ZS-115,Vorkuta,67.38975,63.32717,-9.1645800811739,-0.07241503894329071,9.09216504223061,2012.0
200,Vorkuta ZS-117,Vorkuta,67.39219,63.33866,-8.518619313647246,-0.07241503894329071,8.446204274703955,2012.0
201,Vorkuta ZS-12,Vorkuta,67.41069,63.39578,-5.5919245354569584,0.03320694714784622,5.625131482604805,2012.0
202,Vorkuta ZS-124,Vorkuta,67.39731,63.37544,-4.209932262434682,-0.07446692138910294,4.135465341045579,2012.0
203,Vorkuta ZS-16,Vorkuta,67.38972,63.41379,-0.4430083798882681,0.1286163181066513,0.5716246979949193,
204,Vorkuta ZS-169,Vorkuta,67.39642,63.36899,-0.3526677335467094,-0.07446692138910294,0.27820081215760645,
205,Vorkuta ZS-227,Vorkuta,67.39221,63.40096,-0.5207441295546558,-0.22215601801872253,0.29858811153593323,
206,Vorkuta ZS-247,Vorkuta,67.39848,63.36788,-0.2570004301537799,-0.07446692138910294,0.18253350876467694,
207,Vorkuta ZS-25,Vorkuta,67.40012,63.51515,-0.6738682874699439,0.024327876046299934,0.6981961635162438,
208,Vorkuta ZS-34,Vorkuta,67.39673,63.38052,-0.3190921109200344,-0.07446692138910294,0.24462518953093149,
400,Vorkuta 106,Vorkuta,67.96188,61.52051,-4.492358418079096,0.06870279461145401,4.56106121269055,2016.0
187,Vorkuta R-9,Vorkuta,67.34088,62.35008,-2.4625778787878785,0.3253018260002136,2.787879704788092,2011.0
191,Vorkuta SH-14,Vorkuta,67.37031,64.89704,0.0831428571428571,-0.6009557843208313,-0.6840986414636884,2013.0
1113,Tiksi_stone_ridge,Tiksi,71.586731,128.777346,-2.5677904761904755,-9.518320083618164,-6.950529607427688,2012.0
1141,Kytalik_GI-01_7m,Kytalyk,70.830447,147.488341,-0.6445081874647092,-9.7863187789917,-9.14181059152699,2013.0
171,Nadym 1_71,Nadym,65.3086,72.8239,0.6022903325123153,0.2969934940338135,-0.30529683847850186,2013.0
174,Nadym ND2,Nadym,65.3134,72.8872,-1.1648165351506456,-0.5967312455177307,0.5680852896329149,2011.0
175,Nadym ND3,Nadym,65.3146,72.8629,-0.0963333333333333,-0.5967312455177307,-0.5003979121843974,2011.0
176,Nadym ND3_4,Nadym,65.314472,72.861805,-1.5887744316504282,-0.5967312455177307,0.9920431861326975,2010.0
34,Nadym 11_75,Nadym,65.303303,72.85916,-6.534578431372547,-0.7141305804252625,5.820447850947285,2012.0
169,Nadym 12_75,Nadym,65.315638,72.87325,0.0283533468186833,-0.5967312455177307,-0.625084592336414,2013.0
1102,Nadym 8_10,Nadym,65.674762,72.8742,-3.403510638297872,-1.282545566558838,2.1209650717390343,2010.0
177,Nadym PiCla,Nadym,65.3055,72.892027,-1.6914118518518515,-0.7043089270591736,0.9871029247926779,2010.0
178,Nadym Pingo,Nadym,65.298472,72.895,-2.628506711409396,-0.5266430974006653,2.101863614008731,2010.0
170,Nadym 14_72,Nadym,65.3153,72.8693,-0.5150484802813363,-0.5967312455177307,-0.0816827652363944,2013.0
172,Nadym 23_75,Nadym,65.3147,72.8606,0.0780399230679566,-0.5967312455177307,-0.6747711685856873,2013.0
173,Nadym 23a_75,Nadym,65.3147,72.8612,-0.4681988441394257,-0.5967312455177307,-0.12853240137830502,2013.0
1101,Nadym 4_09,Nadym,65.3225,72.88166,-2.723818181818182,-0.2025103121995926,2.5213078696185893,2009.0
