lon,lat,pred_magt,pred_alt,zone,vulnerability
29.99923891317142,54.9993532702177,3.2715435,4.5507197,0,
30.250767192724886,54.9993532702177,3.7157838,3.3878684,0,
30.502295472278355,54.9993532702177,3.651349,4.405947,0,
30.75382375183182,54.9993532702177,3.5544932,4.3556433,0,
30.99636887854409,54.9993532702177,3.609105,4.160433,0,
31.24789715809756,54.9993532702177,3.296219,,0,
31.499425437651023,54.9993532702177,3.612508,4.4486923,0,
31.75095371720449,54.9993532702177,3.721604,4.4195247,0,
32.00248199675796,54.9993532702177,3.6148567,4.303919,0,
32.25401027631142,54.9993532702177,3.825209,3.9243994,0,
32.49655540302369,54.9993532702177,3.5391357,4.359632,0,
32.74808368257716,54.9993532702177,3.518083,4.568053,0,
32.99961196213062,54.9993532702177,3.6375062,4.548961,0,
33.25114024168409,54.9993532702177,3.4686184,4.29059,0,
33.50266852123755,54.9993532702177,3.3319523,4.5114355,0,
33.75419680079102,54.9993532702177,3.3346686,4.3962936,0,
33.996741927503294,54.9993532702177,3.494592,4.354096,0,
34.248270207056756,54.9993532702177,3.2277267,4.5105734,0,
34.499798486610224,54.9993532702177,3.5614102,4.263686,0,
34.75132676616369,54.9993532702177,3.3550923,3.4685152,0,
35.002855045717155,54.9993532702177,3.543307,4.754337,0,
35.254383325270624,54.9993532702177,3.5842109,4.465601,0,
35.496928451982896,54.9993532702177,3.3512452,4.411247,0,
35.74845673153636,54.9993532702177,3.6712344,4.377982,0,
35.99998501108983,54.9993532702177,3.7960386,3.842451,0,
36.25151329064329,54.9993532702177,3.7196622,4.5555663,0,
36.50304157019676,54.9993532702177,3.6462953,3.724331,0,
36.74558669690903,54.9993532702177,3.6811552,4.746907,0,
36.99711497646249,54.9993532702177,3.3585792,4.6582007,0,
37.24864325601596,54.9993532702177,3.464632,4.0798254,0,
37.50017153556943,54.9993532702177,3.337521,4.5060163,0,
37.75169981512289,54.9993532702177,3.4622674,4.530661,0,
38.00322809467636,54.9993532702177,3.4832442,4.4729414,0,
38.24577322138863,54.9993532702177,3.686301,4.498696,0,
38.49730150094209,54.9993532702177,3.7617533,4.813194,0,
38.74882978049556,54.9993532702177,3.9848528,2.794791,0,
39.00035806004903,54.9993532702177,3.5401974,4.0251384,0,
39.25188633960249,54.9993532702177,4.334926,3.5920515,0,
39.50341461915596,54.9993532702177,3.679318,4.720317,0,
39.745959745868234,54.9993532702177,3.6284935,4.507135,0,
39.997488025421696,54.9993532702177,3.4396617,4.963695,0,
40.24901630497517,54.9993532702177,4.0950994,,0,
40.500544584528626,54.9993532702177,3.82846,4.98806,0,
40.752072864082095,54.9993532702177,3.9056406,4.598552,0,
41.00360114363557,54.9993532702177,3.4029846,,0,
41.24614627034783,54.9993532702177,3.3459818,4.097513,0,
41.4976745499013,54.9993532702177,4.132993,2.884932,0,
41.74920282945477,54.9993532702177,3.7205591,4.619441,0,
42.00073110900823,54.9993532702177,3.865343,4.582254,0,
42.2522593885617,54.9993532702177,3.7022436,4.4890757,0,
42.50378766811516,54.9993532702177,3.5343935,4.49394,0,
42.74633279482743,54.9993532702177,3.581946,4.611184,0,
42.9978610743809,54.9993532702177,3.4893668,4.684379,0,
43.24938935393436,54.9993532702177,3.688246,4.7565618,0,
43.50091763348783,54.9993532702177,3.556726,3.8671374,0,
43.7524459130413,54.9993532702177,3.5779033,3.8619742,0,
44.00397419259476,54.9993532702177,3.6519883,4.471617,0,
44.24651931930703,54.9993532702177,3.8872316,4.7070155,0,
44.4980475988605,54.9993532702177,3.951414,3.8192766,0,
44.74957587841397,54.9993532702177,3.959703,,0,
45.00110415796743,54.9993532702177,3.9735646,3.9259691,0,
45.252632437520894,54.9993532702177,4.3292193,3.9513617,0,
45.50416071707436,54.9993532702177,3.778343,4.6429543,0,
45.74670584378664,54.9993532702177,3.864973,,0,
45.9982341233401,54.9993532702177,3.9227085,3.5567238,0,
46.249762402893566,54.9993532702177,4.2436156,2.8727918,0,
46.501290682447035,54.9993532702177,3.9353056,3.5275795,0,
46.7528189620005,54.9993532702177,3.8643534,4.864586,0,
47.004347241553965,54.9993532702177,3.5308778,3.8940682,0,
47.24689236826624,54.9993532702177,3.5580475,4.917286,0,
47.4984206478197,54.9993532702177,3.7870939,4.8834743,0,
47.74994892737317,54.9993532702177,4.1368446,3.5126884,0,
48.00147720692663,54.9993532702177,4.200132,4.514855,0,
48.2530054864801,54.9993532702177,4.2823772,4.0587306,0,
48.49555061319237,54.9993532702177,3.8539586,2.7434618,0,
48.74707889274583,54.9993532702177,3.9761088,2.75945,0,
48.9986071722993,54.9993532702177,3.5105708,4.9009304,0,
49.25013545185277,54.9993532702177,3.705441,5.005674,0,
49.50166373140623,54.9993532702177,4.2986126,3.5966473,0,
49.7531920109597,54.9993532702177,4.334214,3.7705162,0,
49.99573713767197,54.9993532702177,4.002552,3.2984095,0,
50.247265417225435,54.9993532702177,4.253097,3.733019,0,
50.498793696778904,54.9993532702177,4.361391,4.3706903,0,
50.75032197633237,54.9993532702177,4.2039237,3.596458,0,
51.001850255885834,54.9993532702177,3.708283,4.891418,0,
51.2533785354393,54.9993532702177,4.161856,3.6631944,0,
51.49592366215157,54.9993532702177,4.0373335,3.4768834,0,
51.74745194170504,54.9993532702177,4.263977,3.1931317,0,
51.998980221258506,54.9993532702177,3.7696755,4.5401907,0,
52.25050850081197,54.9993532702177,3.7252328,3.2901711,0,
52.50203678036544,54.9993532702177,3.997845,3.630669,0,
52.753565059918905,54.9993532702177,3.6256037,4.7719426,0,
52.99611018663117,54.9993532702177,3.9211133,3.5677254,0,
53.24763846618464,54.9993532702177,4.0380874,3.739697,0,
53.49916674573811,54.9993532702177,3.83507,2.6438792,0,
53.75069502529157,54.9993532702177,3.9184952,3.5750277,0,
54.00222330484504,54.9993532702177,3.6550605,4.9577785,0,
54.2537515843985,54.9993532702177,3.715329,2.8660662,0,
54.49629671111077,54.9993532702177,4.06376,3.4647748,0,
54.74782499066424,54.9993532702177,3.9957962,3.586993,0,
54.9993532702177,54.9993532702177,4.006986,3.6364043,0,
55.25088154977117,54.9993532702177,3.955704,5.149102,0,
55.50240982932464,54.9993532702177,4.190676,3.6459222,0,
55.7539381088781,54.9993532702177,4.4204707,3.638818,0,
55.996483235590375,54.9993532702177,3.7603788,4.0236974,0,
56.24801151514384,54.9993532702177,4.0294833,,0,
56.499539794697306,54.9993532702177,4.324795,2.9473672,0,
56.751068074250774,54.9993532702177,3.749851,4.4463234,0,
57.00259635380424,54.9993532702177,3.9350417,,0,
57.254124633357705,54.9993532702177,3.7730062,3.018143,0,
57.49666976006998,54.9993532702177,3.2326715,4.8538847,0,
57.74819803962344,54.9993532702177,3.6056912,4.6585245,0,
57.99972631917691,54.9993532702177,4.1391625,3.7284617,0,
58.25125459873038,54.9993532702177,3.8700955,3.1949165,0,
58.50278287828384,54.9993532702177,4.0334277,5.1327486,0,
58.75431115783731,54.9993532702177,3.08455,4.562569,0,
58.99685628454958,54.9993532702177,3.2165473,3.426541,0,
