lon,lat,dmagt,dalt,trend,reliable
54.9993532702177,54.9993532702177,0.08789539,0.90078783,0.0037521362304684417,False
55.25088154977117,54.9993532702177,0.07381439,0.22681284,0.0009508247616924314,False
55.50240982932464,54.9993532702177,0.44378376,0.40886402,0.030119400990157794,True
55.7539381088781,54.9993532702177,0.086725235,0.06412363,0.004798815522012065,False
55.996483235590375,54.9993532702177,-0.16191912,0.17993832,-0.013326048549216808,False
56.248011515143844,54.9993532702177,0.00637722,0.4571929,0.0014798810210408697,False
56.499539794697306,54.9993532702177,0.07872391,0.2547469,0.0045502541940415,False
56.751068074250774,54.9993532702177,-0.04605937,-0.28286552,-0.0007018904142740148,False
57.002596353804236,54.9993532702177,-0.1718142,0.013218403,-0.009589802464351453,False
57.254124633357705,54.9993532702177,-0.21740699,-0.11572361,-0.014837858344934103,False
57.49666976006998,54.9993532702177,-0.2885337,-0.2193017,-0.021076363551464295,True
57.74819803962344,54.9993532702177,-0.3052466,-0.13713932,-0.021398963807502856,True
57.99972631917691,54.9993532702177,-0.11172533,-0.086868286,-0.004601489441304233,False
58.25125459873038,54.9993532702177,0.2872274,0.05072975,0.022904505910751,True
58.50278287828384,54.9993532702177,-0.21365881,-0.32715464,-0.009887636764139316,False
58.75431115783731,54.9993532702177,-0.24486399,-0.17351723,-0.019317660754238443,False
58.99685628454958,54.9993532702177,-0.120262384,-0.19533062,-0.006069250951838843,False
59.24838456410304,54.9993532702177,-0.13270044,-0.2115426,-0.013630850103836389,False
59.49991284365651,54.9993532702177,-0.069028616,-0.0106425285,-0.00974926767469932,False
59.75144112320997,54.9993532702177,-0.06119871,0.1516118,-0.006758803355542694,False
60.00296940276344,54.9993532702177,0.09482241,0.018517017,0.005018671856650374,False
60.24551452947571,54.9993532702177,0.20682693,0.21882105,0.017016451268255104,False
60.497042809029175,54.9993532702177,0.36216927,0.13761616,0.025167874444887266,True
60.74857108858264,54.9993532702177,0.20931816,0.12400055,0.015979500058329935,False
61.00009936813611,54.9993532702177,0.12445116,0.39975786,0.013032437578031648,False
61.251627647689574,54.9993532702177,0.03447008,-0.056325912,0.00010738010647917643,False
61.50315592724304,54.9993532702177,0.0040097237,0.10656071,-0.006144417388529886,False
61.745701053955315,54.9993532702177,0.27036715,0.05501938,0.015594205977040344,False
61.99722933350878,54.9993532702177,0.19400406,-0.231565,0.016610698458513116,False
62.248757613062246,54.9993532702177,-0.1121254,0.27496338,-0.01166909133331655,False
62.751814172169176,54.9993532702177,0.43102312,0.028242111,0.028777915616576184,True
63.003342451722645,54.9993532702177,0.10618639,-0.035954952,0.013781345946878874,False
