lon,lat,pred_magt,pred_class,pred_alt
29.99923891317142,54.9993532702177,3.2715435,0,4.5507197
30.250767192724886,54.9993532702177,3.7157838,0,3.3878684
30.502295472278355,54.9993532702177,3.651349,0,4.405947
30.75382375183182,54.9993532702177,3.5544932,0,4.3556433
30.99636887854409,54.9993532702177,3.609105,0,4.160433
31.24789715809756,54.9993532702177,3.296219,0,
31.499425437651023,54.9993532702177,3.612508,0,4.4486923
31.75095371720449,54.9993532702177,3.721604,0,4.4195247
32.00248199675796,54.9993532702177,3.6148567,0,4.303919
32.25401027631142,54.9993532702177,3.825209,0,3.9243994
32.49655540302369,54.9993532702177,3.5391357,0,4.359632
32.74808368257716,54.9993532702177,3.518083,0,4.568053
32.99961196213062,54.9993532702177,3.6375062,0,4.548961
33.25114024168409,54.9993532702177,3.4686184,0,4.29059
33.50266852123755,54.9993532702177,3.3319523,0,4.5114355
33.75419680079102,54.9993532702177,3.3346686,0,4.3962936
33.996741927503294,54.9993532702177,3.494592,0,4.354096
34.248270207056756,54.9993532702177,3.2277267,0,4.5105734
34.499798486610224,54.9993532702177,3.5614102,0,4.263686
34.75132676616369,54.9993532702177,3.3550923,0,3.4685152
35.002855045717155,54.9993532702177,3.543307,0,4.754337
35.254383325270624,54.9993532702177,3.5842109,0,4.465601
35.496928451982896,54.9993532702177,3.3512452,0,4.411247
35.74845673153636,54.9993532702177,3.6712344,0,4.377982
35.99998501108983,54.9993532702177,3.7960386,0,3.842451
36.25151329064329,54.9993532702177,3.7196622,0,4.5555663
36.50304157019676,54.9993532702177,3.6462953,0,3.724331
36.74558669690903,54.9993532702177,3.6811552,0,4.746907
36.99711497646249,54.9993532702177,3.3585792,0,4.6582007
37.24864325601596,54.9993532702177,3.464632,0,4.0798254
37.50017153556943,54.9993532702177,3.337521,0,4.5060163
37.75169981512289,54.9993532702177,3.4622674,0,4.530661
38.00322809467636,54.9993532702177,3.4832442,0,4.4729414
38.24577322138863,54.9993532702177,3.686301,0,4.498696
38.49730150094209,54.9993532702177,3.7617533,0,4.813194
38.74882978049556,54.9993532702177,3.9848528,0,2.794791
39.00035806004903,54.9993532702177,3.5401974,0,4.0251384
39.25188633960249,54.9993532702177,4.334926,0,3.5920515
39.50341461915596,54.9993532702177,3.679318,0,4.720317
39.745959745868234,54.9993532702177,3.6284935,0,4.507135
39.997488025421696,54.9993532702177,3.4396617,0,4.963695
40.24901630497517,54.9993532702177,4.0950994,0,
40.500544584528626,54.9993532702177,3.82846,0,4.98806
40.752072864082095,54.9993532702177,3.9056406,0,4.598552
41.00360114363557,54.9993532702177,3.4029846,0,
41.24614627034783,54.9993532702177,3.3459818,0,4.097513
41.4976745499013,54.9993532702177,4.132993,0,2.884932
41.74920282945477,54.9993532702177,3.7205591,0,4.619441
42.00073110900823,54.9993532702177,3.865343,0,4.582254
42.2522593885617,54.9993532702177,3.7022436,0,4.4890757
42.50378766811516,54.9993532702177,3.5343935,0,4.49394
42.74633279482743,54.9993532702177,3.581946,0,4.611184
