lon,lat,magt_2021,magt_2030,magt_2050,change_2030,change_2050
29.99923891317142,54.9993532702177,4.039957,4.039957,4.039957,0.0,0.0
30.250767192724886,54.9993532702177,4.377153,4.377153,4.377153,0.0,0.0
30.502295472278355,54.9993532702177,4.4237366,4.4237366,4.4237366,0.0,0.0
30.75382375183182,54.9993532702177,4.8247223,4.8247223,4.8247223,0.0,0.0
30.99636887854409,54.9993532702177,4.5491066,4.5491066,4.5491066,0.0,0.0
31.247897158097558,54.9993532702177,4.15247,4.15247,4.15247,0.0,0.0
31.499425437651023,54.9993532702177,4.6615024,4.6615024,4.6615024,0.0,0.0
31.75095371720449,54.9993532702177,4.444498,4.444498,4.444498,0.0,0.0
32.00248199675796,54.9993532702177,4.3922763,4.3922763,4.3922763,0.0,0.0
32.25401027631142,54.9993532702177,4.40847,4.40847,4.40847,0.0,0.0
32.49655540302369,54.9993532702177,4.546191,4.546191,4.546191,0.0,0.0
32.74808368257716,54.9993532702177,4.159433,4.159433,4.159433,0.0,0.0
32.99961196213062,54.9993532702177,4.430643,4.430643,4.430643,0.0,0.0
33.25114024168409,54.9993532702177,4.625965,4.625965,4.625965,0.0,0.0
33.50266852123755,54.9993532702177,4.196978,4.196978,4.196978,0.0,0.0
33.75419680079102,54.9993532702177,4.620706,4.620706,4.620706,0.0,0.0
33.996741927503294,54.9993532702177,4.76937,4.76937,4.76937,0.0,0.0
34.248270207056756,54.9993532702177,4.31462,4.31462,4.31462,0.0,0.0
34.499798486610224,54.9993532702177,4.3445535,4.3445535,4.3445535,0.0,0.0
34.75132676616369,54.9993532702177,4.3827896,4.3827896,4.3827896,0.0,0.0
35.002855045717155,54.9993532702177,4.456979,4.456979,4.456979,0.0,0.0
35.254383325270624,54.9993532702177,4.5317507,4.5317507,4.5317507,0.0,0.0
35.496928451982896,54.9993532702177,4.1688685,4.1688685,4.1688685,0.0,0.0
35.74845673153636,54.9993532702177,4.4329624,4.4329624,4.4329624,0.0,0.0
35.99998501108983,54.9993532702177,4.4984617,4.4984617,4.4984617,0.0,0.0
36.25151329064329,54.9993532702177,4.9205227,4.9205227,4.9205227,0.0,0.0
36.50304157019676,54.9993532702177,4.6028666,4.6028666,4.6028666,0.0,0.0
36.74558669690903,54.9993532702177,4.464323,4.464323,4.464323,0.0,0.0
36.99711497646249,54.9993532702177,4.1286073,4.1286073,4.1286073,0.0,0.0
37.24864325601596,54.9993532702177,4.162136,4.162136,4.162136,0.0,0.0
37.50017153556943,54.9993532702177,4.0805483,4.0805483,4.0805483,0.0,0.0
37.75169981512289,54.9993532702177,4.6781154,4.6781154,4.6781154,0.0,0.0
38.00322809467636,54.9993532702177,4.417753,4.417753,4.417753,0.0,0.0
38.24577322138863,54.9993532702177,4.393548,4.393548,4.393548,0.0,0.0
38.49730150094209,54.9993532702177,4.445388,4.445388,4.445388,0.0,0.0
38.74882978049556,54.9993532702177,4.593301,4.593301,4.593301,0.0,0.0
39.00035806004903,54.9993532702177,4.1988773,4.1988773,4.1988773,0.0,0.0
39.25188633960249,54.9993532702177,4.4029765,4.4029765,4.4029765,0.0,0.0
39.50341461915596,54.9993532702177,4.2154927,4.2154927,4.2154927,0.0,0.0
39.745959745868234,54.9993532702177,4.41882,4.41882,4.41882,0.0,0.0
