holdout,full_r2,sat_r2,clim_r2
Nadym,-7.188175027571841,-8.924395919025661,-2.3049487166468388
Vorkuta,-6.828299181214327,-2.9717181047633434,-4.266862795729897
Chara,-1.7379341343387282,-2.7683815104631457,-1.7389336486921492
Yakutsk,-18.05222795725252,-11.493694541630873,-22.079034476181782
Tiksi,-97.17609642098951,-185.30904269981934,-104.02183646387002
