fraction,n_points,r2_mean,r2_std,rmse_mean
0.1,2367,0.9546417551233436,0.0015424360888006126,0.899443052840809
0.2,4734,0.9604037237773555,0.0013040648485695841,0.8404029139505658
0.3,7102,0.9633202703771826,0.0006826792718113128,0.8088761141637496
0.4,9469,0.9650310160423456,0.001361174088681945,0.7897340069266605
0.5,11836,0.9663634962269139,0.001191481274406911,0.774567108359139
0.65,15387,0.9675706074770523,0.001191795068933618,0.7605250081080204
0.8,18938,0.9684440321903589,0.0010688629801851063,0.7502228936111826
0.9,21306,0.9687436838217165,0.0010726532282753147,0.746658533768578
1.0,23673,0.9692930769770651,0.0010179489023819071,0.7400624259927471
