name,n_features,rmse,mae,r2
A. FULL (все фичи),17,0.2996051336067891,0.23541015927067427,0.6807405038246541
B. SATELLITE (только спутник),13,0.3504622691078226,0.276380840913175,0.5631545064825845
C. CLIMATE (только климат),4,0.3205287373014285,0.2514238608152747,0.634590976088806
