lon,lat,pred_magt,pred_class
29.99923891317142,54.9993532702177,3.2715435,0
30.250767192724886,54.9993532702177,3.7157838,0
30.502295472278355,54.9993532702177,3.651349,0
30.75382375183182,54.9993532702177,3.5544932,0
30.99636887854409,54.9993532702177,3.609105,0
31.247897158097558,54.9993532702177,3.296219,0
31.499425437651023,54.9993532702177,3.612508,0
31.75095371720449,54.9993532702177,3.721604,0
32.00248199675796,54.9993532702177,3.6148567,0
32.25401027631142,54.9993532702177,3.825209,0
32.49655540302369,54.9993532702177,3.5391357,0
32.74808368257716,54.9993532702177,3.518083,0
32.99961196213062,54.9993532702177,3.6375062,0
33.25114024168409,54.9993532702177,3.4686184,0
33.50266852123755,54.9993532702177,3.3319523,0
33.75419680079102,54.9993532702177,3.3346686,0
33.996741927503294,54.9993532702177,3.494592,0
34.248270207056756,54.9993532702177,3.2277267,0
34.499798486610224,54.9993532702177,3.5614102,0
34.75132676616369,54.9993532702177,3.3550923,0
35.002855045717155,54.9993532702177,3.543307,0
35.254383325270624,54.9993532702177,3.5842109,0
35.496928451982896,54.9993532702177,3.3512452,0
35.74845673153636,54.9993532702177,3.6712344,0
35.99998501108983,54.9993532702177,3.7960386,0
36.25151329064329,54.9993532702177,3.7196622,0
36.50304157019676,54.9993532702177,3.6462953,0
36.74558669690903,54.9993532702177,3.6811552,0
36.99711497646249,54.9993532702177,3.3585792,0
37.24864325601596,54.9993532702177,3.464632,0
37.50017153556943,54.9993532702177,3.337521,0
37.75169981512289,54.9993532702177,3.4622674,0
38.00322809467636,54.9993532702177,3.4832442,0
38.24577322138863,54.9993532702177,3.686301,0
38.49730150094209,54.9993532702177,3.7617533,0
38.74882978049556,54.9993532702177,3.9848528,0
39.00035806004903,54.9993532702177,3.5401974,0
39.25188633960249,54.9993532702177,4.334926,0
39.50341461915596,54.9993532702177,3.679318,0
39.745959745868234,54.9993532702177,3.6284935,0
39.997488025421696,54.9993532702177,3.4396617,0
40.249016304975164,54.9993532702177,4.0950994,0
40.500544584528626,54.9993532702177,3.82846,0
40.752072864082095,54.9993532702177,3.9056406,0
41.003601143635564,54.9993532702177,3.4029846,0
41.24614627034783,54.9993532702177,3.3459818,0
41.4976745499013,54.9993532702177,4.132993,0
41.74920282945477,54.9993532702177,3.7205591,0
42.00073110900823,54.9993532702177,3.865343,0
42.2522593885617,54.9993532702177,3.7022436,0
42.50378766811516,54.9993532702177,3.5343935,0
42.74633279482743,54.9993532702177,3.581946,0
42.9978610743809,54.9993532702177,3.4893668,0
43.24938935393436,54.9993532702177,3.688246,0
43.50091763348783,54.9993532702177,3.556726,0
43.7524459130413,54.9993532702177,3.5779033,0
44.00397419259476,54.9993532702177,3.6519883,0
44.24651931930703,54.9993532702177,3.8872316,0
44.4980475988605,54.9993532702177,3.951414,0
44.749575878413964,54.9993532702177,3.959703,0
45.00110415796743,54.9993532702177,3.9735646,0
45.252632437520894,54.9993532702177,4.3292193,0
45.50416071707436,54.9993532702177,3.778343,0
45.746705843786636,54.9993532702177,3.864973,0
45.9982341233401,54.9993532702177,3.9227085,0
46.249762402893566,54.9993532702177,4.2436156,0
46.501290682447035,54.9993532702177,3.9353056,0
46.7528189620005,54.9993532702177,3.8643534,0
47.004347241553965,54.9993532702177,3.5308778,0
47.24689236826624,54.9993532702177,3.5580475,0
47.4984206478197,54.9993532702177,3.7870939,0
47.74994892737317,54.9993532702177,4.1368446,0
48.00147720692663,54.9993532702177,4.200132,0
48.2530054864801,54.9993532702177,4.2823772,0
48.49555061319237,54.9993532702177,3.8539586,0
48.74707889274583,54.9993532702177,3.9761088,0
48.9986071722993,54.9993532702177,3.5105708,0
