lon,lat,pred_magt,pred_alt,zone,vulnerability,magt_2030,magt_2050,change_2050,trend
29.99923891317142,54.9993532702177,3.2715435,4.5507197,0,,4.039957,4.039957,0.0,0.0027051048366082
30.250767192724886,54.9993532702177,3.7157838,3.3878684,0,,4.377153,4.377153,0.0,0.0054783270069855
30.502295472278355,54.9993532702177,3.651349,4.405947,0,,4.4237366,4.4237366,0.0,-0.0027968954439852
30.75382375183182,54.9993532702177,3.5544932,4.3556433,0,,4.8247223,4.8247223,0.0,-0.0020576008942913
30.99636887854409,54.9993532702177,3.609105,4.160433,0,,4.5491066,4.5491066,0.0,-0.005960186231601
31.24789715809756,54.9993532702177,3.296219,,0,,4.15247,4.15247,0.0,-0.0071843595199239
31.499425437651023,54.9993532702177,3.612508,4.4486923,0,,4.6615024,4.6615024,0.0,0.0048755802879052
31.75095371720449,54.9993532702177,3.721604,4.4195247,0,,4.444498,4.444498,0.0,-0.0010359320529684
32.00248199675796,54.9993532702177,3.6148567,4.303919,0,,4.3922763,4.3922763,0.0,-0.0074218939861941
32.25401027631142,54.9993532702177,3.825209,3.9243994,0,,4.40847,4.40847,0.0,0.0028570265737217
32.49655540302369,54.9993532702177,3.5391357,4.359632,0,,4.546191,4.546191,0.0,-0.0076596720540553
32.74808368257716,54.9993532702177,3.518083,4.568053,0,,4.159433,4.159433,0.0,-0.0099670158643749
32.99961196213062,54.9993532702177,3.6375062,4.548961,0,,4.430643,4.430643,0.0,-0.0117148147294938
33.25114024168409,54.9993532702177,3.4686184,4.29059,0,,4.625965,4.625965,0.0,-0.0055610882608511
33.50266852123755,54.9993532702177,3.3319523,4.5114355,0,,4.196978,4.196978,0.0,-0.0088905704376088
33.75419680079102,54.9993532702177,3.3346686,4.3962936,0,,4.620706,4.620706,0.0,-0.0104587416354254
33.996741927503294,54.9993532702177,3.494592,4.354096,0,,4.76937,4.76937,0.0,-0.0070051290350597
34.248270207056756,54.9993532702177,3.2277267,4.5105734,0,,4.31462,4.31462,0.0,-0.008957498406382
34.499798486610224,54.9993532702177,3.5614102,4.263686,0,,4.3445535,4.3445535,0.0,-0.0122964136660505
34.75132676616369,54.9993532702177,3.3550923,3.4685152,0,,4.3827896,4.3827896,0.0,-0.0090431943365309
